gtas_hit_summary_id|hit_summary_create_date|hit_type|rule_hit_count|wl_hit_count|gtas_hit_detail_id|description|title|cond_text|rule_id|hit_detail_create_date|idTag|flight_id|origin|flight_id|destination|carrier|direction|origin_country|destination_country|eta_date|etd_date|flight_number|full_flight_number|IS_HIT_AVAILABLE|NEO4J_PARAMETER_ID|HIT_LABEL|PASSENGER-HIT_LABEL|PASSENGER_LABEL|isLastRow
20247.0|2019-05-14 13:39:26|R|5|0|41688.0|There was a match for UDR 'Fop-cash', with id=3, and ruleId=3|Fop-cash|Pnr Form of Payment is 'CA'$$$|3|2019/05/14 13:39:26.000000000|2fcf965f4954910b930505935c51646bb6d4b970|7781.0|BUD|7781.0|PRG|OK|A|HUN|CZE|2019-04-04 00:00:00|2019-04-04 00:00:00|0791|OK0791|Y|1|Hit|flagged|Passenger|N
20247.0|2019-05-14 13:39:26|R|5|0|41689.0|There was a match for UDR 'Email-gmail', with id=7, and ruleId=8|Email-gmail|Email Domain is 'GMAIL.COM'$$$|7|2019/05/14 13:39:26.000000000|2fcf965f4954910b930505935c51646bb6d4b970|7781.0|BUD|7781.0|PRG|OK|A|HUN|CZE|2019-04-04 00:00:00|2019-04-04 00:00:00|0791|OK0791|Y|1|Hit|flagged|Passenger|N
20247.0|2019-05-14 13:39:26|R|5|0|41690.0|There was a match for UDR 'doc-issue-country', with id=8, and ruleId=13|doc-issue-country|Document Issuance Country is one of ('USA', 'GBR', 'ERI', 'IND', 'CHN')$$$|8|2019/05/14 13:39:26.000000000|2fcf965f4954910b930505935c51646bb6d4b970|7781.0|BUD|7781.0|PRG|OK|A|HUN|CZE|2019-04-04 00:00:00|2019-04-04 00:00:00|0791|OK0791|Y|1|Hit|flagged|Passenger|N
20247.0|2019-05-14 13:39:26|R|5|0|41691.0|There was a match for UDR 'DOCUMENT-TYPE', with id=10, and ruleId=11|DOCUMENT-TYPE|Document Type is 'P'$$$|10|2019/05/14 13:39:26.000000000|2fcf965f4954910b930505935c51646bb6d4b970|7781.0|BUD|7781.0|PRG|OK|A|HUN|CZE|2019-04-04 00:00:00|2019-04-04 00:00:00|0791|OK0791|Y|1|Hit|flagged|Passenger|N
20247.0|2019-05-14 13:39:26|R|5|0|41692.0|There was a match for UDR 'passenger-age', with id=12, and ruleId=15|passenger-age|Passenger Age is between (35, 75)$$$|12|2019/05/14 13:39:26.000000000|2fcf965f4954910b930505935c51646bb6d4b970|7781.0|BUD|7781.0|PRG|OK|A|HUN|CZE|2019-04-04 00:00:00|2019-04-04 00:00:00|0791|OK0791|Y|1|Hit|flagged|Passenger|N
20248.0|2019-05-14 13:39:26|R|4|0|41693.0|There was a match for UDR 'ED-hotmail.com', with id=5, and ruleId=5|ED-hotmail.com|Email Domain is 'HOTMAIL.COM'$$$|5|2019/05/14 13:39:26.000000000|a478c83acd2725a3bf39cae12351da98a8c9dd62|7781.0|BUD|7781.0|PRG|OK|A|HUN|CZE|2019-04-04 00:00:00|2019-04-04 00:00:00|0791|OK0791|Y|1|Hit|flagged|Passenger|N
20248.0|2019-05-14 13:39:26|R|4|0|41694.0|There was a match for UDR 'DOCUMENT-TYPE', with id=10, and ruleId=11|DOCUMENT-TYPE|Document Type is 'P'$$$|10|2019/05/14 13:39:26.000000000|a478c83acd2725a3bf39cae12351da98a8c9dd62|7781.0|BUD|7781.0|PRG|OK|A|HUN|CZE|2019-04-04 00:00:00|2019-04-04 00:00:00|0791|OK0791|Y|1|Hit|flagged|Passenger|N
20248.0|2019-05-14 13:39:26|R|4|0|41695.0|There was a match for UDR 'FOP-CR', with id=11, and ruleId=14|FOP-CR|Pnr Form of Payment is 'CC'$$$|11|2019/05/14 13:39:26.000000000|a478c83acd2725a3bf39cae12351da98a8c9dd62|7781.0|BUD|7781.0|PRG|OK|A|HUN|CZE|2019-04-04 00:00:00|2019-04-04 00:00:00|0791|OK0791|Y|1|Hit|flagged|Passenger|N
20248.0|2019-05-14 13:39:26|R|4|0|41696.0|There was a match for UDR 'passenger-age', with id=12, and ruleId=15|passenger-age|Passenger Age is between (35, 75)$$$|12|2019/05/14 13:39:26.000000000|a478c83acd2725a3bf39cae12351da98a8c9dd62|7781.0|BUD|7781.0|PRG|OK|A|HUN|CZE|2019-04-04 00:00:00|2019-04-04 00:00:00|0791|OK0791|Y|1|Hit|flagged|Passenger|N
20249.0|2019-05-14 13:39:26|R|5|0|41697.0|There was a match for UDR 'Email-gmail', with id=7, and ruleId=8|Email-gmail|Email Domain is 'GMAIL.COM'$$$|7|2019/05/14 13:39:26.000000000|8cd1dea14b28d0a2829010c669ab05203e63dbe2|7781.0|BUD|7781.0|PRG|OK|A|HUN|CZE|2019-04-04 00:00:00|2019-04-04 00:00:00|0791|OK0791|Y|1|Hit|flagged|Passenger|N
